"13256","","","","60,032","5"," saradomin light ","","x","x","x","x","x","","x","x","x","x","","","","","","","","","x","x","","","","","x","x","x","x","","","","","","","","","x","x","x","x","x","","","","","","","","x","x","x","x","","","","","","","","","x","","","","",""
"11785","","","","38,805,620","9"," armadyl crossbow ","","x","x","x","","","","x","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","x","x","x","x","","x","","","","","","x","","","","","","","","","","","","","","","","",""
"11814","","","","24,465,724","9"," saradomin hilt ","","x","x","x","x","x","","x","x","x","","","","","","","","","","x","","","","","","x","","","","","","","","","","","","x","x","x","x","","","","","","","","","x","x","x","x","x","","","","","","","","x","","","","",""
"","","","","","45"," pet (bonus) ","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","40"," K'ril Tsutsaroth ","","x","","","","","","x","","","","","","","","","","","","","","","","","","x","x","","","","","","","","","","","x","x","","","","","","","","","","","x","","","","","","","","","","","","","","","","",""
"11787","","","","29,800","2"," steam battlestaff ","","x","x","x","","","","x","x","x","x","x","","","","","","","","x","x","","","","","x","x","x","x","","","","","","","","","x","x","x","x","x","","x","x","x","x","","","x","x","x","x","x","","x","x","x","","","","x","x","","","",""
"11824","","","","1,179,728","2"," zamorak spear ","","x","x","x","","","","x","x","x","x","x","","","","","","","","x","x","x","","","","x","x","x","x","","","","","","","","","x","x","x","x","x","","x","","","","","","x","x","x","x","x","","x","x","x","x","x","","","","","","",""
"11791","","","","5,461,078","7"," staff of the dead ","","x","","","","","","x","","","","","","","","","","","","x","","","","","","x","x","","","","","","","","","","","x","x","x","x","x","","","","","","","","x","x","x","x","","","","","","","","","","","","","",""
"11816","","","","16,070,031","7"," zamorak hilt ","","x","","","","","","x","x","","","","","","","","","","","","","","","","","x","x","","","","","","","","","","","x","x","","","","","","","","","","","x","","","","","","x","","","","","","","","","","",""
"","","","","","35"," pet (bonus) ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","x","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","60"," Nex ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","x","","","","","","","","","","","","","","","","",""
"26235","","","","77,311,923","15"," zaryte vambraces ","","","","","","","","x","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","x","x","x","","","","","","","","","","x","","","","","","","","","","","","","","","","",""
"26372","","","","341,340,429","20"," nihil horn ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","x","","","","","","x","","","","","","","","","","",""
"26370","","","","38,833,600","40"," ancient hilt ","","","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","x","","","","","","","","","","","","","","","","",""
"","","","","","0"," any torva piece ","","","","","","","","x","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","x","x","x","","","","","","","","","","x","","","","","","x","","","","","","x","","","","",""
"26376","","","","206,176,451","20"," torva full helm (bonus) ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","",""
"26378","","","","159,151,760","20"," torva platebody (bonus) ","","","","","","","","x","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","x","x","x","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"26380","","","","102,036,446","20"," torva platelegs (bonus) ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","x","","","","","","","","","","",""
"","","","","","40"," pet (bonus) ","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","20"," Wilderness wards ","","x","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","x","x","x","","","","","","","","","","x","x","","","","","x","","","","","","","","","","",""
"11928","","","","2,351,045","3"," odium 1 ","","x","x","","","","","x","x","x","x","x","","","","","","","","","","","","","","x","","","","","","","","","","","","x","x","x","","","","","","","","","","x","x","x","","","","x","x","x","","","","","","","","",""
"11929","","","","615,650","3"," odium 2 ","","x","","","","","","x","x","x","x","","","","","","","","","","","","","","","x","","","","","","","","","","","","x","x","x","","","","x","","","","","","x","x","","","","","x","","","","","","","","","","",""
"11930","","","","240,148","3"," odium 3 ","","x","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","x","x","x","x","","","x","","","","","","x","x","x","x","x","","x","","","","","","","","","","",""
"11931","","","","1,038,552","3"," maled 1 ","","x","x","","","","","x","","","","","","","","","","","","x","","","","","","x","x","x","","","","","","","","","","x","x","x","x","x","","","","","","","","x","x","x","","","","x","x","x","","","","","","","","",""
"11932","","","","478,739","3"," maled 2 ","","x","x","","","","","","","","","","","","","","","","","","","","","","","x","x","","","","","","","","","","","x","x","x","x","x","","","","","","","","x","x","x","","","","x","x","x","x","x","","x","","","","",""
"11933","","","","184,478","3"," maled 3 ","","x","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","x","x","x","x","x","","x","","","","","","x","x","x","","","","x","x","x","x","x","","","","","","",""
"","","","","","20"," Chaos Elemental ","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","x","x","","","","","","","","","","x","x","x","","","","x","","","","","","","","","","",""
"7158","","","","133,554","2"," dragon 2h ","","x","","","","","","","","","","","","","","","","","","","","","","","","x","x","x","x","x","","","","","","","","x","x","x","x","x","","x","","","","","","x","x","x","x","x","","x","x","x","x","x","","x","","","","",""
"11920","","","","572,299","4"," dragon pickaxe ","","x","","","","","","","","","","","","","","","","","","x","x","","","","","","","","","","","","","","","","","x","x","x","","","","","","","","","","x","x","x","x","x","","x","","","","","","","","","","",""
"","","","","","5"," chaos elemental pet ","","x","","","","","","","","","","","","","","","","","","x","x","","","","","x","x","","","","","","","","","","","x","x","x","","","","","","","","","","x","x","x","","","","x","","","","","","","","","","",""
"","","","","","40"," Venenatis / Spindel ","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","x","x","","","","","","","","","","x","x","x","x","","","x","x","","","","","","","","","",""
"27670","","","","63,616","4"," fangs of venenatis ","","x","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","x","x","x","x","","","","","","","","x","x","x","x","","","x","x","","","","","","","","","",""
"7158","","","","133,554","5"," dragon 2h ","","x","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","x","x","x","x","","x","","","","","","x","x","x","x","x","","x","x","x","","","","","","","","",""
"11920","","","","572,299","5"," dragon pickaxe ","","x","x","x","x","","","","","","","","","","","","","","","","","","","","","x","x","","","","","","","","","","","x","x","x","x","x","","x","","","","","","x","x","x","x","x","","x","x","x","","","","","","","","",""
"27687","","","","33,035,393","7"," voidwaker gem  ","","x","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","x","x","x","","","","","","","","","","x","x","x","x","","","x","x","x","x","x","","","","","","",""
"12605","","","","78,853","10"," treasonous ring ","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","x","x","x","x","","","","","","","","x","x","x","x","","","x","x","x","x","","","","","","","",""
"","","","","","20"," pet (bonus) ","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","x","","","","","","","","","","","x","","","","","","","","","","","","","","","","",""
"","","","","","40"," Callisto / Artio ","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","x","x","x","","","","","","","","","x","x","","","","","x","","","","","","","","","","",""
"27667","","","","48,543","4"," claws of callisto ","","x","x","x","x","x","","","","","","","","","","","","","","x","x","","","","","","","","","","","","","","","","","x","x","x","x","x","","x","","","","","","x","x","x","x","x","","x","x","x","x","x","","","","","","",""
"7158","","","","133,554","5"," dragon 2h ","","x","x","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","x","x","x","x","","x","","","","","","x","x","x","x","x","","x","x","x","x","x","","","","","","",""
"11920","","","","572,299","5"," dragon pickaxe ","","x","x","x","x","x","","","","","","","","","","","","","","x","","","","","","x","","","","","","","","","","","","x","x","x","x","x","","x","x","","","","","x","x","x","x","x","","x","x","x","x","x","","","","","","",""
"27681","","","","2,694,820","7"," voidwaker hilt  ","","x","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","x","x","x","x","","","","","","","","","x","x","","","","","x","x","x","x","x","","","","","","",""
"12603","","","","151,522","10"," tyrannical ring ","","x","x","x","x","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","x","x","x","x","","","","","","","","x","x","x","x","x","","x","","","","","","","","","","",""
"","","","","","20"," pet (bonus) ","","x","x","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","",""
"","","","","","40"," Vet'ion / Calvar'ion ","","x","x","","","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","x","x","","","","","","","","","","x","x","x","","","","x","x","","","","","","","","","",""
"27673","","","","49,036","6"," skull of vet'ion ","","x","x","x","","","","x","x","x","","","","","","","","","","","","","","","","x","","","","","","","","","","","","x","x","x","x","x","","x","x","x","","","","x","x","x","x","x","","x","x","x","x","x","","","","","","",""
"7158","","","","133,554","8"," dragon 2h ","","x","x","","","","","x","x","x","x","","","","","","","","","","","","","","","x","x","","","","","","","","","","","x","x","x","x","x","","x","","","","","","x","x","x","x","x","","x","x","x","x","","","","","","","",""
"11920","","","","572,299","8"," dragon pickaxe ","","x","x","x","x","x","","x","x","x","","","","","","","","","","x","","","","","","x","","","","","","","","","","","","x","x","x","x","x","","x","x","","","","","x","x","x","x","x","","x","x","","","","","","","","","",""
"27684","","","","1,394,450","12"," voidwaker blade   ","","x","x","","","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","x","x","","","","","","","","","","x","x","x","x","x","","x","x","","","","","","","","","",""
"12601","","","","1,007,659","16"," ring of the gods ","","x","x","","","","","x","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","x","x","x","","","","","","","","","","x","x","x","","","","x","x","x","x","","","","","","","",""
"","","","","","30"," pet (bonus) ","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","x","","","","","","","","","","","","x","","","","","","","","","","",""
"","","","","","50"," King Black Dragon ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","1"," kbd heads ","","x","x","x","x","x","","x","x","x","x","x","","","","","","","","x","","","","","","x","x","x","x","x","","","","","","","","x","x","x","x","x","","x","x","","","","","x","x","x","x","x","","x","x","","","","","x","","","","",""
"11920","","","","572,299","12"," dragon pickaxe ","","x","x","","","","","x","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11286","","","","3,857,298","40"," draconic visage ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","",""
"","","","","","25"," pet (bonus) ","","","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","60"," Revenant Caves (pvm) ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","x","x","","","","","","","","","","","","","","","",""
"21817","","","","42,913","1"," bracelet of ethereum ","","x","x","x","x","x","","x","x","x","x","x","","","","","","","","x","x","x","x","x","","x","x","x","x","x","","","","","","","","x","x","x","x","x","","x","x","x","x","x","","x","x","x","x","x","","x","x","x","x","x","","x","x","x","x","",""
"21804","","","","152,696","10"," ancient crystal ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","x","","","","","","","","","","","x","x","x","x","","","x","x","","","","","","","","","",""
"22557","","","","402,919","10"," amulet of avarice ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","x","","","","","","","","","","","x","x","","","","","x","x","x","","","","","","","","",""
"22552","","","","3,766,185","20"," thammaron's sceptre ","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","x","x","","","","","x","","","","","","","","","","",""
"22547","","","","16,410,762","20"," craw's bow ","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","x","x","x","","","","","","","","","","","","","","",""
"22542","","","","5,329,353","20"," viggora's chainmace ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","x","x","x","","","","","","","","","","","","","","",""
"","","","","","0"," any ancient statuette ","","x","x","x","","","","x","x","x","x","","","","","","","","","x","x","x","x","","","x","","","","","","","","","","","","x","x","x","x","x","","x","x","x","","","","x","x","x","x","x","","x","x","x","x","x","","","","","","",""
"21807","","","","498,755","1"," ancient emblem (bonus) ","","","","","","","","","","","","","","","","","","","","x","x","","","","","","","","","","","","","","","","","x","x","x","x","x","","","","","","","","x","x","x","x","x","","x","x","","","","","","","","","",""
"21810","","","","997,824","2"," ancient totem (bonus) ","","x","x","","","","","x","x","x","x","","","","","","","","","x","x","","","","","x","","","","","","","","","","","","x","x","x","x","x","","x","x","","","","","x","x","x","x","x","","x","x","x","x","x","","","","","","",""
"21813","","","","1,997,287","4"," ancient statuette (bonus) ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","x","x","x","x","","","","","","","","x","","","","","","x","","","","","","","","","","",""
"22299","","","","3,994,001","8"," ancient medallion (bonus) ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","x","","","","","","","","","","","x","","","","","","","","","","","","","","","","",""
"22302","","","","7,988,002","8"," ancient effigy (bonus) ","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","x","","","","","","x","","","","","","","","","","","","","","","","",""
"22305","","","","15,976,744","8"," ancient relic (bonus) ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","x","x","","","","x","","","","","","","","","","",""
"","","","","","10"," Sarachnis ","","x","","","","","","x","x","x","x","x","","","","","","","","x","x","x","","","","x","x","x","x","x","","","","","","","","x","x","x","","","","x","x","x","x","x","","x","x","x","","","","x","x","x","x","x","","x","x","","","",""
"23517","","","","17,438","1"," giant egg sac ","","x","x","x","x","x","","x","x","x","x","x","","","","","","","","x","x","x","x","x","","x","x","x","x","x","","","","","","","","x","x","x","x","x","","x","x","x","x","x","","x","x","x","x","x","","x","x","x","x","x","","x","x","x","x","x",""
"1149","","","","58,482","2"," dragon med helm ","","x","x","","","","","x","x","x","x","x","","","","","","","","x","x","x","","","","x","x","x","x","x","","","","","","","","x","x","x","x","x","","x","x","x","x","x","","x","x","x","x","x","","x","x","x","x","x","","x","x","x","","",""
"23528","","","","117,707","5"," cudgel ","","x","","","","","","x","x","x","x","x","","","","","","","","x","x","x","","","","x","x","x","x","x","","","","","","","","x","x","x","","","","x","x","x","x","x","","x","x","x","","","","x","x","x","x","x","","x","x","","","",""
"23525","","","","61,461","25"," jar of eyes (bonus) ","","x","","","","","","x","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","x","","","","","","","","","","","","x","x","x","","","","x","x","x","x","","","","","","","",""
"","","","","","25"," pet (bonus) ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","x","","","","","","","","","","","","","","","","",""
"","","","","","20"," Dagannoth Kings ","","x","x","x","x","","","x","x","","","","","","","","","","","","","","","","","x","x","","","","","","","","","","","x","x","x","x","","","x","","","","","","x","x","x","x","x","","x","x","x","","","","x","","","","",""
"","","","","","4"," Dagannoth Supreme ","","x","x","x","x","x","","x","x","","","","","","","","","","","","","","","","","x","x","x","","","","","","","","","","x","x","x","x","","","x","","","","","","x","x","x","x","x","","x","x","x","","","","x","x","","","",""
"6724","","","","39,749","2"," seercull bow ","","x","x","x","x","x","","x","x","x","","","","","","","","","","x","x","x","","","","x","x","x","x","x","","","","","","","","x","x","x","x","x","","x","x","x","x","","","x","x","x","x","x","","x","x","x","x","","","x","x","","","",""
"3749","","","","39,431","2"," archer helm ","","x","x","x","x","x","","x","x","x","x","","","","","","","","","x","x","x","","","","x","x","x","x","x","","","","","","","","x","x","x","x","x","","x","x","x","","","","x","x","x","x","x","","x","x","x","","","","x","x","x","x","",""
"6133","","","","4,321","2"," spined body ","","x","x","x","x","x","","x","x","","","","","","","","","","","x","x","x","x","","","x","x","x","x","","","","","","","","","x","x","x","x","x","","x","","","","","","x","x","x","x","x","","x","x","x","x","x","","x","x","x","x","",""
"6135","","","","16,431","2"," spined chaps ","","x","x","x","x","x","","x","x","","","","","","","","","","","","","","","","","x","x","x","x","x","","","","","","","","x","x","x","x","","","x","x","","","","","x","x","x","x","x","","x","x","x","x","x","","x","x","x","x","",""
"6733","","","","2,416,347","2"," archers ring ","","x","x","x","x","x","","x","x","","","","","","","","","","","","","","","","","x","x","x","","","","","","","","","","x","x","x","x","x","","x","x","","","","","x","x","x","x","x","","x","x","x","x","x","","x","x","x","","",""
"","","","","","30"," pet (bonus) ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","x","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","4"," Dagannoth Rex ","","x","x","x","x","x","","x","x","x","x","","","","","","","","","x","x","","","","","x","x","","","","","","","","","","","x","x","x","x","x","","x","","","","","","x","x","x","x","x","","x","x","x","x","x","","x","x","","","",""
"6129","","","","38,393","2"," rock-shell plate ","","x","x","x","x","x","","x","x","x","x","x","","","","","","","","x","x","x","","","","x","x","x","","","","","","","","","","x","x","x","x","x","","x","","","","","","x","x","x","x","x","","x","x","x","x","x","","x","x","x","x","x",""
"6130","","","","37,918","2"," rock-shell legs ","","x","x","x","x","x","","x","x","x","x","x","","","","","","","","x","x","x","x","x","","x","x","","","","","","","","","","","x","x","x","x","x","","x","","","","","","x","x","x","x","x","","x","x","x","x","x","","x","x","x","x","x",""
"6737","","","","3,047,073","2"," berserker ring ","","x","x","x","x","x","","x","x","x","x","","","","","","","","","x","x","x","","","","x","x","x","x","x","","","","","","","","x","x","x","x","x","","x","x","x","x","x","","x","x","x","x","x","","x","x","x","x","x","","x","x","","","",""
"6735","","","","52,575","2"," warrior ring ","","x","x","x","x","x","","x","x","x","x","x","","","","","","","","x","x","","","","","x","x","x","x","x","","","","","","","","x","x","x","x","x","","x","x","x","","","","x","x","x","x","x","","x","x","x","x","x","","x","x","x","x","x",""
"","","","","","30"," pet (bonus) ","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","4"," Dagannoth Prime ","","x","x","x","x","","","x","x","","","","","","","","","","","","","","","","","x","x","x","x","","","","","","","","","x","x","x","x","x","","x","","","","","","x","x","x","x","x","","x","x","x","x","x","","x","","","","",""
"6562","","","","23,075","2"," mud battlestaff ","","x","x","x","x","","","x","x","x","x","x","","","","","","","","x","x","x","x","","","x","x","x","x","x","","","","","","","","x","x","x","x","x","","x","","","","","","x","x","x","x","x","","x","x","x","x","x","","x","x","x","x","",""
"3755","","","","36,645","2"," farseer helm ","","x","x","x","x","x","","x","x","x","x","","","","","","","","","x","","","","","","x","x","x","x","x","","","","","","","","x","x","x","x","x","","x","x","x","","","","x","x","x","x","x","","x","x","x","x","x","","x","","","","",""
"6139","","","","26,388","2"," skeletal top ","","x","x","x","x","x","","x","x","","","","","","","","","","","x","x","x","","","","x","x","x","x","","","","","","","","","x","x","x","x","x","","x","x","x","x","x","","x","x","x","x","x","","x","x","x","x","x","","x","","","","",""
"6141","","","","22,966","2"," skeletal bottoms ","","x","x","x","x","x","","x","x","x","x","","","","","","","","","","","","","","","x","x","x","x","x","","","","","","","","x","x","x","x","x","","x","x","x","x","","","x","x","x","x","x","","x","x","x","x","x","","x","x","x","x","x",""
"6731","","","","651,120","2"," seers ring ","","x","x","x","x","x","","x","x","x","x","x","","","","","","","","x","x","x","x","","","x","x","x","x","x","","","","","","","","x","x","x","x","x","","x","x","x","x","","","x","x","x","x","x","","x","x","x","x","x","","x","x","x","x","",""
"","","","","","30"," pet (bonus) ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","",""
"","","","","","40"," Demonic Gorillas ","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","x","","","","","","","","","","","x","x","","","","","x","","","","","","","","","","",""
"19529","","","","15,939,187","6"," zenyte shard ","","x","x","x","x","x","","x","x","x","x","x","","","","","","","","x","x","x","","","","x","","","","","","","","","","","","x","x","x","x","x","","x","x","x","","","","x","x","x","x","x","","x","x","x","x","x","","x","","","","",""
"19592","","","","29,137","10"," ballista limbs ","","x","x","x","","","","x","x","x","","","","","","","","","","x","x","","","","","","","","","","","","","","","","","x","x","x","x","x","","x","","","","","","x","x","x","x","x","","x","x","x","x","","","","","","","",""
"19601","","","","29,095","10"," ballista spring ","","x","x","x","x","","","x","x","x","x","x","","","","","","","","x","","","","","","x","x","x","","","","","","","","","","x","x","x","x","x","","x","x","","","","","x","x","x","","","","x","x","x","","","","","","","","",""
"19586","","","","28,976","15"," light frame ","","x","","","","","","","","","","","","","","","","","","","","","","","","x","x","x","x","","","","","","","","","x","x","x","x","x","","x","x","x","","","","x","x","x","x","","","x","x","","","","","","","","","",""
"19589","","","","380,809","30"," heavy frame ","","x","","","","","","x","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","x","","","","","x","","","","","","x","x","","","","","x","","","","","","","","","","",""
"19610","","","","451,285","30"," monkey tail ","","x","x","","","","","x","x","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","x","x","x","","","","","","","","","x","x","","","","","x","x","x","","","","x","","","","",""
"","","","","","20"," Zulrah ","","x","x","x","","","","x","x","x","x","","","","","","","","","x","x","x","","","","x","x","","","","","","","","","","","x","x","x","x","","","x","","","","","","x","x","x","x","","","x","x","","","","","","","","","",""
"12922","","","","10,679,752","12"," tanz fang ","","x","x","x","x","","","x","x","x","x","","","","","","","","","x","x","x","","","","x","x","x","x","x","","","","","","","","x","x","x","x","x","","x","x","x","x","x","","x","x","x","x","x","","x","x","","","","","x","x","x","","",""
"12932","","","","3,593,520","12"," magic fang ","","x","x","x","x","x","","x","x","x","x","x","","","","","","","","x","x","x","","","","x","x","x","","","","","","","","","","x","x","x","x","x","","x","x","x","","","","x","x","x","x","","","x","x","x","x","x","","x","x","x","x","",""
"12927","","","","3,527,440","12"," serp visage ","","x","x","x","","","","x","x","x","x","","","","","","","","","x","x","x","x","x","","x","x","x","","","","","","","","","","x","x","x","x","","","x","","","","","","x","x","x","x","x","","x","x","x","x","x","","","","","","",""
"6571","","","","2,777,702","12"," uncut onyx ","","x","x","x","x","x","","x","x","x","x","x","","","","","","","","x","x","x","","","","x","x","","","","","","","","","","","x","x","x","x","x","","x","x","x","x","x","","x","x","x","x","x","","x","x","x","x","x","","x","x","x","","",""
"","","","","","80"," tanzanite mutagen (bonus) ","","x","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","x","","","","","","","","","","",""
"","","","","","80"," magma mutagen (bonus) ","","","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12936","","","","54,821","40"," jar of swamp (bonus) ","","x","","","","","","x","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","x","","","","","","x","","","","","","x","","","","","","","","","","","","","","","","",""
"","","","","","50"," pet (bonus) ","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","","x","","","","",""
